home_team,away_team,home_goals,away_goals,result,season
Lyon,Gent,1,2,A,2015
Barcelona,Roma,6,1,H,2015
Arsenal,Dinamo Zagreb,3,0,H,2015
Porto,Dynamo Kyiv,0,2,A,2015
Zenit,Valencia,2,0,H,2015
BATE Borisov,Leverkusen,1,1,D,2015
Juventus,Manchester City,1,0,H,2015
CSKA Moscow,Wolfsburg,0,2,A,2015
Shakhtar,Real Madrid,3,4,A,2015
FC Astana,Benfica,2,2,D,2015
MalmÃ¶,Paris S-G,0,5,A,2015
AtlÃ©tico Madrid,Galatasaray,2,0,H,2015
M'Gladbach,Sevilla,4,2,H,2015
CSKA Moscow,Wolfsburg,0,2,A,2015
M'Gladbach,Sevilla,4,2,H,2015
Shakhtar,Real Madrid,3,4,A,2015
FC Astana,Benfica,2,2,D,2015
AtlÃ©tico Madrid,Galatasaray,2,0,H,2015
MalmÃ¶,Paris S-G,0,5,A,2015
Juventus,Manchester City,1,0,H,2015
Paris S-G,Shakhtar,2,0,H,2015
Galatasaray,FC Astana,1,1,D,2015
Sevilla,Juventus,1,0,H,2015
Paris S-G,Shakhtar,2,0,H,2015
Wolfsburg,Manchester Utd,3,2,H,2015
PSV Eindhoven,CSKA Moscow,2,1,H,2015
Real Madrid,MalmÃ¶,8,0,H,2015
Benfica,AtlÃ©tico Madrid,1,2,A,2015
Manchester City,M'Gladbach,4,2,H,2015
Wolfsburg,Manchester Utd,3,2,H,2015
PSV Eindhoven,CSKA Moscow,2,1,H,2015
Sevilla,Juventus,1,0,H,2015
Benfica,AtlÃ©tico Madrid,1,2,A,2015
Real Madrid,MalmÃ¶,8,0,H,2015
Galatasaray,FC Astana,1,1,D,2015
Manchester City,M'Gladbach,4,2,H,2015
Dynamo Kyiv,Maccabi Tel Aviv,1,0,H,2015
Roma,BATE Borisov,0,0,D,2015
Gent,Zenit,2,1,H,2015
Dynamo Kyiv,Maccabi Tel Aviv,1,0,H,2015
Chelsea,Porto,2,0,H,2015
Olympiacos,Arsenal,0,3,A,2015
Olympiacos,Arsenal,0,3,A,2015
Valencia,Lyon,0,2,A,2015
Gent,Zenit,2,1,H,2015
Valencia,Lyon,0,2,A,2015
Leverkusen,Barcelona,1,1,D,2015
Roma,BATE Borisov,0,0,D,2015
Dinamo Zagreb,Bayern Munich,0,2,A,2015
Chelsea,Porto,2,0,H,2015
Dinamo Zagreb,Bayern Munich,0,2,A,2015
Leverkusen,Barcelona,1,1,D,2015
Benfica,Zenit,1,0,H,2015
Benfica,Zenit,1,0,H,2015
Gent,Wolfsburg,2,3,A,2015
Roma,Real Madrid,0,2,A,2015
Gent,Wolfsburg,2,3,A,2015
Roma,Real Madrid,0,2,A,2015
Arsenal,Barcelona,0,2,A,2015
Juventus,Bayern Munich,2,2,D,2015
Juventus,Bayern Munich,2,2,D,2015
Arsenal,Barcelona,0,2,A,2015
PSV Eindhoven,AtlÃ©tico Madrid,0,0,D,2015
Dynamo Kyiv,Manchester City,1,3,A,2015
Dynamo Kyiv,Manchester City,1,3,A,2015
PSV Eindhoven,AtlÃ©tico Madrid,0,0,D,2015
Real Madrid,Roma,2,0,H,2015
Wolfsburg,Gent,1,0,H,2015
Wolfsburg,Gent,1,0,H,2015
Real Madrid,Roma,2,0,H,2015
Zenit,Benfica,1,2,A,2015
Chelsea,Paris S-G,1,2,A,2015
Zenit,Benfica,1,2,A,2015
Chelsea,Paris S-G,1,2,A,2015
AtlÃ©tico Madrid,PSV Eindhoven,8,7,H,2015
Manchester City,Dynamo Kyiv,0,0,D,2015
AtlÃ©tico Madrid,PSV Eindhoven,8,7,H,2015
Manchester City,Dynamo Kyiv,0,0,D,2015
Barcelona,Arsenal,3,1,H,2015
Bayern Munich,Juventus,4,2,H,2015
Bayern Munich,Juventus,4,2,H,2015
Barcelona,Arsenal,3,1,H,2015
Barcelona,AtlÃ©tico Madrid,2,1,H,2015
Bayern Munich,Benfica,1,0,H,2015
Barcelona,AtlÃ©tico Madrid,2,1,H,2015
Bayern Munich,Benfica,1,0,H,2015
Wolfsburg,Real Madrid,2,0,H,2015
Paris S-G,Manchester City,2,2,D,2015
Paris S-G,Manchester City,2,2,D,2015
Wolfsburg,Real Madrid,2,0,H,2015
Manchester City,Paris S-G,1,0,H,2015
Real Madrid,Wolfsburg,3,0,H,2015
Manchester City,Paris S-G,1,0,H,2015
Real Madrid,Wolfsburg,3,0,H,2015
AtlÃ©tico Madrid,Barcelona,2,0,H,2015
AtlÃ©tico Madrid,Barcelona,2,0,H,2015
Benfica,Bayern Munich,2,2,D,2015
Benfica,Bayern Munich,2,2,D,2015
Manchester City,Real Madrid,0,0,D,2015
Manchester City,Real Madrid,0,0,D,2015
AtlÃ©tico Madrid,Bayern Munich,1,0,H,2015
AtlÃ©tico Madrid,Bayern Munich,1,0,H,2015
Bayern Munich,AtlÃ©tico Madrid,2,1,H,2015
Bayern Munich,AtlÃ©tico Madrid,2,1,H,2015
Real Madrid,Manchester City,1,0,H,2015
Real Madrid,Manchester City,1,0,H,2015
Real Madrid,AtlÃ©tico Madrid,5,3,H,2015
Real Madrid,AtlÃ©tico Madrid,5,3,H,2015
Benfica,BeÅiktaÅ,1,1,D,2016
Dynamo Kyiv,Napoli,1,2,A,2016
Bayern Munich,Rostov,5,0,H,2016
Barcelona,Celtic,7,0,H,2016
Paris S-G,Arsenal,1,1,D,2016
Dynamo Kyiv,Napoli,1,2,A,2016
PSV Eindhoven,AtlÃ©tico Madrid,0,1,A,2016
Basel,Ludogorets,1,1,D,2016
PSV Eindhoven,AtlÃ©tico Madrid,0,1,A,2016
Barcelona,Celtic,7,0,H,2016
Paris S-G,Arsenal,1,1,D,2016
Bayern Munich,Rostov,5,0,H,2016
Benfica,BeÅiktaÅ,1,1,D,2016
Basel,Ludogorets,1,1,D,2016
Lyon,Dinamo Zagreb,3,0,H,2016
Juventus,Sevilla,0,0,D,2016
Legia Warsaw,Dortmund,0,6,A,2016
Tottenham,Monaco,1,2,A,2016
Manchester City,M'Gladbach,4,0,H,2016
Club Brugge,Leicester City,0,3,A,2016
Real Madrid,Sporting CP,2,1,H,2016
Leverkusen,CSKA Moscow,2,2,D,2016
Real Madrid,Sporting CP,2,1,H,2016
Club Brugge,Leicester City,0,3,A,2016
Manchester City,M'Gladbach,4,0,H,2016
Tottenham,Monaco,1,2,A,2016
Porto,FC Copenhagen,1,1,D,2016
Legia Warsaw,Dortmund,0,6,A,2016
Lyon,Dinamo Zagreb,3,0,H,2016
Juventus,Sevilla,0,0,D,2016
Leverkusen,CSKA Moscow,2,2,D,2016
Porto,FC Copenhagen,1,1,D,2016
Sporting CP,Legia Warsaw,2,0,H,2016
Sporting CP,Legia Warsaw,2,0,H,2016
Leicester City,Porto,1,0,H,2016
Sevilla,Lyon,1,0,H,2016
Monaco,Leverkusen,1,1,D,2016
Leicester City,Porto,1,0,H,2016
CSKA Moscow,Tottenham,0,1,A,2016
FC Copenhagen,Club Brugge,4,0,H,2016
Dinamo Zagreb,Juventus,0,4,A,2016
Monaco,Leverkusen,1,1,D,2016
CSKA Moscow,Tottenham,0,1,A,2016
FC Copenhagen,Club Brugge,4,0,H,2016
Dortmund,Real Madrid,2,2,D,2016
Sevilla,Lyon,1,0,H,2016
Dortmund,Real Madrid,2,2,D,2016
Dinamo Zagreb,Juventus,0,4,A,2016
AtlÃ©tico Madrid,Bayern Munich,1,0,H,2016
M'Gladbach,Barcelona,1,2,A,2016
BeÅiktaÅ,Dynamo Kyiv,1,1,D,2016
Arsenal,Basel,2,0,H,2016
Celtic,Manchester City,3,3,D,2016
Napoli,Benfica,4,2,H,2016
Arsenal,Basel,2,0,H,2016
M'Gladbach,Barcelona,1,2,A,2016
Napoli,Benfica,4,2,H,2016
Ludogorets,Paris S-G,1,3,A,2016
AtlÃ©tico Madrid,Bayern Munich,1,0,H,2016
BeÅiktaÅ,Dynamo Kyiv,1,1,D,2016
Rostov,PSV Eindhoven,2,2,D,2016
Ludogorets,Paris S-G,1,3,A,2016
Celtic,Manchester City,3,3,D,2016
Rostov,PSV Eindhoven,2,2,D,2016
Sporting CP,Dortmund,1,2,A,2016
Leicester City,FC Copenhagen,1,0,H,2016
Lyon,Juventus,0,1,A,2016
Leverkusen,Tottenham,0,0,D,2016
Club Brugge,Porto,1,2,A,2016
Real Madrid,Legia Warsaw,5,1,H,2016
CSKA Moscow,Monaco,1,1,D,2016
Leicester City,FC Copenhagen,1,0,H,2016
Lyon,Juventus,0,1,A,2016
Leverkusen,Tottenham,0,0,D,2016
Club Brugge,Porto,1,2,A,2016
Real Madrid,Legia Warsaw,5,1,H,2016
Dinamo Zagreb,Sevilla,0,1,A,2016
CSKA Moscow,Monaco,1,1,D,2016
Dinamo Zagreb,Sevilla,0,1,A,2016
Sporting CP,Dortmund,1,2,A,2016
Rostov,AtlÃ©tico Madrid,0,1,A,2016
Dynamo Kyiv,Benfica,0,2,A,2016
Napoli,BeÅiktaÅ,2,3,A,2016
Bayern Munich,PSV Eindhoven,4,1,H,2016
Barcelona,Manchester City,4,0,H,2016
Paris S-G,Basel,3,0,H,2016
Arsenal,Ludogorets,6,0,H,2016
Rostov,AtlÃ©tico Madrid,0,1,A,2016
Napoli,BeÅiktaÅ,2,3,A,2016
Bayern Munich,PSV Eindhoven,4,1,H,2016
Barcelona,Manchester City,4,0,H,2016
Paris S-G,Basel,3,0,H,2016
Arsenal,Ludogorets,6,0,H,2016
Celtic,M'Gladbach,0,2,A,2016
Dynamo Kyiv,Benfica,0,2,A,2016
Celtic,M'Gladbach,0,2,A,2016
Benfica,Dynamo Kyiv,1,0,H,2016
PSV Eindhoven,Bayern Munich,1,2,A,2016
Basel,Paris S-G,1,2,A,2016
AtlÃ©tico Madrid,Rostov,2,1,H,2016
BeÅiktaÅ,Napoli,1,1,D,2016
M'Gladbach,Celtic,1,1,D,2016
Ludogorets,Arsenal,2,3,A,2016
Ludogorets,Arsenal,2,3,A,2016
Benfica,Dynamo Kyiv,1,0,H,2016
M'Gladbach,Celtic,1,1,D,2016
AtlÃ©tico Madrid,Rostov,2,1,H,2016
BeÅiktaÅ,Napoli,1,1,D,2016
Basel,Paris S-G,1,2,A,2016
PSV Eindhoven,Bayern Munich,1,2,A,2016
Porto,Club Brugge,1,0,H,2016
Monaco,CSKA Moscow,3,0,H,2016
Juventus,Lyon,1,1,D,2016
FC Copenhagen,Leicester City,0,0,D,2016
Legia Warsaw,Real Madrid,3,3,D,2016
Tottenham,Leverkusen,0,1,A,2016
Porto,Club Brugge,1,0,H,2016
Tottenham,Leverkusen,0,1,A,2016
Legia Warsaw,Real Madrid,3,3,D,2016
FC Copenhagen,Leicester City,0,0,D,2016
Juventus,Lyon,1,1,D,2016
Monaco,CSKA Moscow,3,0,H,2016
Sevilla,Dinamo Zagreb,4,0,H,2016
Dortmund,Sporting CP,1,0,H,2016
Sevilla,Dinamo Zagreb,4,0,H,2016
Dortmund,Sporting CP,1,0,H,2016
Leicester City,Club Brugge,2,1,H,2016
Sporting CP,Real Madrid,1,2,A,2016
CSKA Moscow,Leverkusen,1,1,D,2016
Leicester City,Club Brugge,2,1,H,2016
Monaco,Tottenham,2,1,H,2016
FC Copenhagen,Porto,0,0,D,2016
Dortmund,Legia Warsaw,8,4,H,2016
Monaco,Tottenham,2,1,H,2016
Dortmund,Legia Warsaw,8,4,H,2016
Dinamo Zagreb,Lyon,0,1,A,2016
CSKA Moscow,Leverkusen,1,1,D,2016
Sporting CP,Real Madrid,1,2,A,2016
FC Copenhagen,Porto,0,0,D,2016
Sevilla,Juventus,1,3,A,2016
Dinamo Zagreb,Lyon,0,1,A,2016
Sevilla,Juventus,1,3,A,2016
Napoli,Dynamo Kyiv,0,0,D,2016
Celtic,Barcelona,0,2,A,2016
Ludogorets,Basel,0,0,D,2016
BeÅiktaÅ,Benfica,3,3,D,2016
AtlÃ©tico Madrid,PSV Eindhoven,2,0,H,2016
Rostov,Bayern Munich,3,2,H,2016
Ludogorets,Basel,0,0,D,2016
M'Gladbach,Manchester City,1,1,D,2016
Napoli,Dynamo Kyiv,0,0,D,2016
AtlÃ©tico Madrid,PSV Eindhoven,2,0,H,2016
M'Gladbach,Manchester City,1,1,D,2016
Rostov,Bayern Munich,3,2,H,2016
Celtic,Barcelona,0,2,A,2016
BeÅiktaÅ,Benfica,3,3,D,2016
Manchester City,Celtic,1,1,D,2016
Benfica,Napoli,1,2,A,2016
Basel,Arsenal,1,4,A,2016
Barcelona,M'Gladbach,4,0,H,2016
PSV Eindhoven,Rostov,0,0,D,2016
Bayern Munich,AtlÃ©tico Madrid,1,0,H,2016
Dynamo Kyiv,BeÅiktaÅ,6,0,H,2016
Manchester City,Celtic,1,1,D,2016
Paris S-G,Ludogorets,2,2,D,2016
Benfica,Napoli,1,2,A,2016
PSV Eindhoven,Rostov,0,0,D,2016
Basel,Arsenal,1,4,A,2016
Dynamo Kyiv,BeÅiktaÅ,6,0,H,2016
Paris S-G,Ludogorets,2,2,D,2016
Bayern Munich,AtlÃ©tico Madrid,1,0,H,2016
Barcelona,M'Gladbach,4,0,H,2016
Real Madrid,Dortmund,2,2,D,2016
Tottenham,CSKA Moscow,3,1,H,2016
Lyon,Sevilla,0,0,D,2016
Juventus,Dinamo Zagreb,2,0,H,2016
Legia Warsaw,Sporting CP,1,0,H,2016
Leverkusen,Monaco,3,0,H,2016
Lyon,Sevilla,0,0,D,2016
Porto,Leicester City,5,0,H,2016
Legia Warsaw,Sporting CP,1,0,H,2016
Club Brugge,FC Copenhagen,0,2,A,2016
Real Madrid,Dortmund,2,2,D,2016
Club Brugge,FC Copenhagen,0,2,A,2016
Leverkusen,Monaco,3,0,H,2016
Juventus,Dinamo Zagreb,2,0,H,2016
Tottenham,CSKA Moscow,3,1,H,2016
Porto,Leicester City,5,0,H,2016
Benfica,Dortmund,1,0,H,2016
Benfica,Dortmund,1,0,H,2016
Bayern Munich,Arsenal,5,1,H,2016
Real Madrid,Napoli,3,1,H,2016
Real Madrid,Napoli,3,1,H,2016
Bayern Munich,Arsenal,5,1,H,2016
Leverkusen,AtlÃ©tico Madrid,2,4,A,2016
Manchester City,Monaco,5,3,H,2016
Manchester City,Monaco,5,3,H,2016
Leverkusen,AtlÃ©tico Madrid,2,4,A,2016
Porto,Juventus,0,2,A,2016
Sevilla,Leicester City,2,1,H,2016
Sevilla,Leicester City,2,1,H,2016
Porto,Juventus,0,2,A,2016
Arsenal,Bayern Munich,1,5,A,2016
Napoli,Real Madrid,1,3,A,2016
Napoli,Real Madrid,1,3,A,2016
Arsenal,Bayern Munich,1,5,A,2016
Barcelona,Paris S-G,6,1,H,2016
Dortmund,Benfica,4,0,H,2016
Dortmund,Benfica,4,0,H,2016
Barcelona,Paris S-G,6,1,H,2016
Juventus,Porto,1,0,H,2016
Juventus,Porto,1,0,H,2016
Leicester City,Sevilla,2,0,H,2016
Leicester City,Sevilla,2,0,H,2016
Monaco,Manchester City,3,1,H,2016
AtlÃ©tico Madrid,Leverkusen,0,0,D,2016
AtlÃ©tico Madrid,Leverkusen,0,0,D,2016
Monaco,Manchester City,3,1,H,2016
Juventus,Barcelona,3,0,H,2016
Juventus,Barcelona,3,0,H,2016
Bayern Munich,Real Madrid,1,2,A,2016
AtlÃ©tico Madrid,Leicester City,1,0,H,2016
Dortmund,Monaco,2,3,A,2016
AtlÃ©tico Madrid,Leicester City,1,0,H,2016
Dortmund,Monaco,2,3,A,2016
Bayern Munich,Real Madrid,1,2,A,2016
Real Madrid,Bayern Munich,4,2,H,2016
Leicester City,AtlÃ©tico Madrid,1,1,D,2016
Real Madrid,Bayern Munich,4,2,H,2016
Leicester City,AtlÃ©tico Madrid,1,1,D,2016
Barcelona,Juventus,0,0,D,2016
Monaco,Dortmund,3,1,H,2016
Monaco,Dortmund,3,1,H,2016
Barcelona,Juventus,0,0,D,2016
Real Madrid,AtlÃ©tico Madrid,3,0,H,2016
Real Madrid,AtlÃ©tico Madrid,3,0,H,2016
Monaco,Juventus,0,2,A,2016
Monaco,Juventus,0,2,A,2016
Juventus,Monaco,2,1,H,2016
Juventus,Monaco,2,1,H,2016
AtlÃ©tico Madrid,Real Madrid,2,1,H,2016
AtlÃ©tico Madrid,Real Madrid,2,1,H,2016
Juventus,Real Madrid,1,4,A,2016
Juventus,Real Madrid,1,4,A,2016
Bayern Munich,Anderlecht,3,0,H,2017
Celtic,Paris S-G,0,5,A,2017
Chelsea,QarabaÄ FK,6,0,H,2017
Olympiacos,Sporting CP,2,3,A,2017
Barcelona,Juventus,3,0,H,2017
Roma,AtlÃ©tico Madrid,0,0,D,2017
Benfica,CSKA Moscow,1,2,A,2017
Celtic,Paris S-G,0,5,A,2017
Manchester Utd,Basel,3,0,H,2017
Olympiacos,Sporting CP,2,3,A,2017
Bayern Munich,Anderlecht,3,0,H,2017
Barcelona,Juventus,3,0,H,2017
Roma,AtlÃ©tico Madrid,0,0,D,2017
Benfica,CSKA Moscow,1,2,A,2017
Manchester Utd,Basel,3,0,H,2017
Chelsea,QarabaÄ FK,6,0,H,2017
Tottenham,Dortmund,3,1,H,2017
Porto,BeÅiktaÅ,1,3,A,2017
Liverpool,Sevilla,2,2,D,2017
NK Maribor,Spartak Moscow,1,1,D,2017
Shakhtar,Napoli,2,1,H,2017
RB Leipzig,Monaco,1,1,D,2017
Real Madrid,APOEL FC,3,0,H,2017
Shakhtar,Napoli,2,1,H,2017
Real Madrid,APOEL FC,3,0,H,2017
RB Leipzig,Monaco,1,1,D,2017
Feyenoord,Manchester City,0,4,A,2017
NK Maribor,Spartak Moscow,1,1,D,2017
Tottenham,Dortmund,3,1,H,2017
Liverpool,Sevilla,2,2,D,2017
Porto,BeÅiktaÅ,1,3,A,2017
Feyenoord,Manchester City,0,4,A,2017
APOEL FC,Tottenham,0,3,A,2017
Spartak Moscow,Liverpool,1,1,D,2017
Sevilla,NK Maribor,3,0,H,2017
Dortmund,Real Madrid,1,3,A,2017
Monaco,Porto,0,3,A,2017
Napoli,Feyenoord,3,1,H,2017
Spartak Moscow,Liverpool,1,1,D,2017
BeÅiktaÅ,RB Leipzig,2,0,H,2017
APOEL FC,Tottenham,0,3,A,2017
BeÅiktaÅ,RB Leipzig,2,0,H,2017
Sevilla,NK Maribor,3,0,H,2017
Manchester City,Shakhtar,2,0,H,2017
Dortmund,Real Madrid,1,3,A,2017
Monaco,Porto,0,3,A,2017
Napoli,Feyenoord,3,1,H,2017
Manchester City,Shakhtar,2,0,H,2017
Paris S-G,Bayern Munich,3,0,H,2017
Juventus,Olympiacos,2,0,H,2017
Basel,Benfica,5,0,H,2017
Anderlecht,Celtic,0,3,A,2017
AtlÃ©tico Madrid,Chelsea,1,2,A,2017
QarabaÄ FK,Roma,1,2,A,2017
Anderlecht,Celtic,0,3,A,2017
Basel,Benfica,5,0,H,2017
Juventus,Olympiacos,2,0,H,2017
AtlÃ©tico Madrid,Chelsea,1,2,A,2017
QarabaÄ FK,Roma,1,2,A,2017
Sporting CP,Barcelona,0,1,A,2017
Sporting CP,Barcelona,0,1,A,2017
Paris S-G,Bayern Munich,3,0,H,2017
CSKA Moscow,Manchester Utd,1,4,A,2017
CSKA Moscow,Manchester Utd,1,4,A,2017
Feyenoord,Shakhtar,1,2,A,2017
Manchester City,Napoli,2,1,H,2017
APOEL FC,Dortmund,1,1,D,2017
Spartak Moscow,Sevilla,5,1,H,2017
NK Maribor,Liverpool,0,7,A,2017
Real Madrid,Tottenham,1,1,D,2017
RB Leipzig,Porto,3,2,H,2017
Monaco,BeÅiktaÅ,1,2,A,2017
Feyenoord,Shakhtar,1,2,A,2017
Manchester City,Napoli,2,1,H,2017
NK Maribor,Liverpool,0,7,A,2017
APOEL FC,Dortmund,1,1,D,2017
Spartak Moscow,Sevilla,5,1,H,2017
Real Madrid,Tottenham,1,1,D,2017
Monaco,BeÅiktaÅ,1,2,A,2017
RB Leipzig,Porto,3,2,H,2017
Benfica,Manchester Utd,0,1,A,2017
QarabaÄ FK,AtlÃ©tico Madrid,0,0,D,2017
Juventus,Sporting CP,2,1,H,2017
Barcelona,Olympiacos,3,1,H,2017
Barcelona,Olympiacos,3,1,H,2017
Anderlecht,Paris S-G,0,4,A,2017
CSKA Moscow,Basel,0,2,A,2017
Benfica,Manchester Utd,0,1,A,2017
Chelsea,Roma,3,3,D,2017
Chelsea,Roma,3,3,D,2017
QarabaÄ FK,AtlÃ©tico Madrid,0,0,D,2017
Anderlecht,Paris S-G,0,4,A,2017
Bayern Munich,Celtic,3,0,H,2017
Bayern Munich,Celtic,3,0,H,2017
CSKA Moscow,Basel,0,2,A,2017
Juventus,Sporting CP,2,1,H,2017
Paris S-G,Anderlecht,5,0,H,2017
AtlÃ©tico Madrid,QarabaÄ FK,1,1,D,2017
Roma,Chelsea,3,0,H,2017
Basel,CSKA Moscow,1,2,A,2017
Olympiacos,Barcelona,0,0,D,2017
Sporting CP,Juventus,1,1,D,2017
Manchester Utd,Benfica,2,0,H,2017
Olympiacos,Barcelona,0,0,D,2017
Basel,CSKA Moscow,1,2,A,2017
Roma,Chelsea,3,0,H,2017
AtlÃ©tico Madrid,QarabaÄ FK,1,1,D,2017
Paris S-G,Anderlecht,5,0,H,2017
Manchester Utd,Benfica,2,0,H,2017
Sporting CP,Juventus,1,1,D,2017
Porto,RB Leipzig,3,1,H,2017
Tottenham,Real Madrid,3,1,H,2017
BeÅiktaÅ,Monaco,1,1,D,2017
Liverpool,NK Maribor,3,0,H,2017
Shakhtar,Feyenoord,3,1,H,2017
Sevilla,Spartak Moscow,2,1,H,2017
Napoli,Manchester City,2,4,A,2017
Dortmund,APOEL FC,1,1,D,2017
Sevilla,Spartak Moscow,2,1,H,2017
BeÅiktaÅ,Monaco,1,1,D,2017
Liverpool,NK Maribor,3,0,H,2017
Porto,RB Leipzig,3,1,H,2017
Tottenham,Real Madrid,3,1,H,2017
Napoli,Manchester City,2,4,A,2017
Dortmund,APOEL FC,1,1,D,2017
Shakhtar,Feyenoord,3,1,H,2017
Manchester City,Feyenoord,1,0,H,2017
APOEL FC,Real Madrid,0,6,A,2017
Monaco,RB Leipzig,1,4,A,2017
Dortmund,Tottenham,1,2,A,2017
BeÅiktaÅ,Porto,1,1,D,2017
Sevilla,Liverpool,3,3,D,2017
Spartak Moscow,NK Maribor,1,1,D,2017
Napoli,Shakhtar,3,0,H,2017
APOEL FC,Real Madrid,0,6,A,2017
Monaco,RB Leipzig,1,4,A,2017
Dortmund,Tottenham,1,2,A,2017
Napoli,Shakhtar,3,0,H,2017
Sevilla,Liverpool,3,3,D,2017
Spartak Moscow,NK Maribor,1,1,D,2017
BeÅiktaÅ,Porto,1,1,D,2017
Manchester City,Feyenoord,1,0,H,2017
QarabaÄ FK,Chelsea,0,4,A,2017
AtlÃ©tico Madrid,Roma,2,0,H,2017
Paris S-G,Celtic,7,1,H,2017
Anderlecht,Bayern Munich,1,2,A,2017
Basel,Manchester Utd,1,0,H,2017
Juventus,Barcelona,0,0,D,2017
CSKA Moscow,Benfica,2,0,H,2017
QarabaÄ FK,Chelsea,0,4,A,2017
CSKA Moscow,Benfica,2,0,H,2017
Basel,Manchester Utd,1,0,H,2017
Anderlecht,Bayern Munich,1,2,A,2017
Paris S-G,Celtic,7,1,H,2017
AtlÃ©tico Madrid,Roma,2,0,H,2017
Juventus,Barcelona,0,0,D,2017
Olympiacos,Juventus,0,2,A,2017
Bayern Munich,Paris S-G,3,1,H,2017
Roma,QarabaÄ FK,1,0,H,2017
Barcelona,Sporting CP,2,0,H,2017
Benfica,Basel,0,2,A,2017
Manchester Utd,CSKA Moscow,2,1,H,2017
Celtic,Anderlecht,0,1,A,2017
Chelsea,AtlÃ©tico Madrid,1,1,D,2017
Olympiacos,Juventus,0,2,A,2017
Bayern Munich,Paris S-G,3,1,H,2017
Roma,QarabaÄ FK,1,0,H,2017
Barcelona,Sporting CP,2,0,H,2017
Benfica,Basel,0,2,A,2017
Manchester Utd,CSKA Moscow,2,1,H,2017
Celtic,Anderlecht,0,1,A,2017
Chelsea,AtlÃ©tico Madrid,1,1,D,2017
Tottenham,APOEL FC,3,0,H,2017
Real Madrid,Dortmund,3,2,H,2017
NK Maribor,Sevilla,1,1,D,2017
Feyenoord,Napoli,2,1,H,2017
RB Leipzig,BeÅiktaÅ,1,2,A,2017
Liverpool,Spartak Moscow,7,0,H,2017
Tottenham,APOEL FC,3,0,H,2017
Porto,Monaco,5,2,H,2017
Liverpool,Spartak Moscow,7,0,H,2017
RB Leipzig,BeÅiktaÅ,1,2,A,2017
Feyenoord,Napoli,2,1,H,2017
NK Maribor,Sevilla,1,1,D,2017
Real Madrid,Dortmund,3,2,H,2017
Shakhtar,Manchester City,2,1,H,2017
Porto,Monaco,5,2,H,2017
Shakhtar,Manchester City,2,1,H,2017
Basel,Manchester City,0,4,A,2017
Basel,Manchester City,0,4,A,2017
Real Madrid,Paris S-G,3,1,H,2017
Porto,Liverpool,0,5,A,2017
Real Madrid,Paris S-G,3,1,H,2017
Porto,Liverpool,0,5,A,2017
Chelsea,Barcelona,1,1,D,2017
Bayern Munich,BeÅiktaÅ,5,0,H,2017
Bayern Munich,BeÅiktaÅ,5,0,H,2017
Chelsea,Barcelona,1,1,D,2017
Sevilla,Manchester Utd,0,0,D,2017
Shakhtar,Roma,2,1,H,2017
Sevilla,Manchester Utd,0,0,D,2017
Shakhtar,Roma,2,1,H,2017
Paris S-G,Real Madrid,1,2,A,2017
Liverpool,Porto,0,0,D,2017
Liverpool,Porto,0,0,D,2017
Paris S-G,Real Madrid,1,2,A,2017
Manchester City,Basel,1,2,A,2017
Tottenham,Juventus,1,2,A,2017
Manchester City,Basel,1,2,A,2017
Tottenham,Juventus,1,2,A,2017
Roma,Shakhtar,1,0,H,2017
Roma,Shakhtar,1,0,H,2017
Manchester Utd,Sevilla,1,2,A,2017
Manchester Utd,Sevilla,1,2,A,2017
Barcelona,Chelsea,3,0,H,2017
Barcelona,Chelsea,3,0,H,2017
BeÅiktaÅ,Bayern Munich,1,3,A,2017
BeÅiktaÅ,Bayern Munich,1,3,A,2017
Juventus,Real Madrid,0,3,A,2017
Sevilla,Bayern Munich,1,2,A,2017
Sevilla,Bayern Munich,1,2,A,2017
Juventus,Real Madrid,0,3,A,2017
Liverpool,Manchester City,3,0,H,2017
Barcelona,Roma,4,1,H,2017
Liverpool,Manchester City,3,0,H,2017
Barcelona,Roma,4,1,H,2017
Roma,Barcelona,3,0,H,2017
Manchester City,Liverpool,1,2,A,2017
Roma,Barcelona,3,0,H,2017
Manchester City,Liverpool,1,2,A,2017
Bayern Munich,Sevilla,0,0,D,2017
Real Madrid,Juventus,1,3,A,2017
Real Madrid,Juventus,1,3,A,2017
Bayern Munich,Sevilla,0,0,D,2017
Liverpool,Roma,5,2,H,2017
Liverpool,Roma,5,2,H,2017
Bayern Munich,Real Madrid,1,2,A,2017
Bayern Munich,Real Madrid,1,2,A,2017
Real Madrid,Bayern Munich,2,2,D,2017
Real Madrid,Bayern Munich,2,2,D,2017
Roma,Liverpool,4,2,H,2017
Roma,Liverpool,4,2,H,2017
Real Madrid,Liverpool,3,1,H,2017
Real Madrid,Liverpool,3,1,H,2017
Red Star,Napoli,0,0,D,2018
Inter,Tottenham,2,1,H,2018
Barcelona,PSV Eindhoven,4,0,H,2018
Inter,Tottenham,2,1,H,2018
Liverpool,Paris S-G,3,2,H,2018
Red Star,Napoli,0,0,D,2018
Club Brugge,Dortmund,0,1,A,2018
Monaco,AtlÃ©tico Madrid,1,2,A,2018
Schalke 04,Porto,1,1,D,2018
Galatasaray,Loko Moscow,3,0,H,2018
Galatasaray,Loko Moscow,3,0,H,2018
Schalke 04,Porto,1,1,D,2018
Monaco,AtlÃ©tico Madrid,1,2,A,2018
